字段名称,字段类型,字段中文名,字段描述,安全等级
1,1,1,1,1
anchor_30day_dist_category_id_0,double,,,
anchor_30day_dist_category_id_11,double,,,
anchor_30day_dist_category_id_12,double,,,
anchor_30day_dist_category_id_13,double,,,
anchor_30day_dist_category_id_14,double,,,
anchor_30day_dist_category_id_15,double,,,
anchor_30day_dist_category_id_16,double,,,
anchor_30day_dist_category_id_17,double,,,
anchor_30day_dist_category_id_18,double,,,
anchor_30day_dist_category_id_19,double,,,
anchor_30day_dist_category_id_20,double,,,
anchor_30day_dist_category_id_21,double,,,
anchor_30day_dist_category_id_22,double,,,
anchor_30day_dist_category_id_23,double,,,
anchor_30day_dist_category_id_24,double,,,
anchor_30day_dist_category_id_25,double,,,
anchor_30day_dist_category_id_26,double,,,
anchor_30day_dist_category_id_27,double,,,
anchor_30day_dist_category_id_28,double,,,
anchor_30day_dist_category_id_29,double,,,
anchor_30day_dist_category_id_30,double,,,
anchor_30day_dist_category_id_31,double,,,
anchor_30day_dist_category_id_32,double,,,
anchor_30day_dist_category_id_33,double,,,
anchor_30day_dist_category_id_34,double,,,
anchor_30day_dist_category_id_35,double,,,
anchor_30day_dist_category_id_36,double,,,
anchor_30day_dist_category_id_37,double,,,
anchor_30day_dist_category_id_38,double,,,
anchor_30day_dist_category_id_39,double,,,
anchor_30day_dist_category_id_40,double,,,
anchor_30day_dist_category_id_41,double,,,
anchor_30day_dist_category_id_42,double,,,
anchor_30day_dist_category_id_43,double,,,
anchor_30day_dist_category_id_44,double,,,
anchor_30day_dist_category_id_45,double,,,
anchor_30day_dist_category_id_46,double,,,
anchor_30day_dist_category_id_47,double,,,
anchor_30day_dist_category_id_48,double,,,
anchor_30day_dist_category_id_49,double,,,
anchor_30day_dist_category_id_50,double,,,
anchor_30day_dist_category_id_51,double,,,
anchor_30day_dist_category_id_52,double,,,
anchor_30day_dist_category_id_53,double,,,
anchor_30day_dist_category_id_54,double,,,
anchor_30day_dist_category_id_55,double,,,
anchor_30day_dist_category_id_56,double,,,
anchor_30day_dist_category_id_57,double,,,
anchor_30day_dist_category_id_58,double,,,
anchor_30day_dist_category_id_59,double,,,
anchor_30day_dist_category_id_60,double,,,
anchor_30day_dist_category_id_61,double,,,
anchor_30day_dist_category_id_62,double,,,
anchor_30day_dist_category_id_63,double,,,
anchor_30day_dist_category_id_64,double,,,
anchor_30day_dist_category_id_65,double,,,
anchor_30day_dist_category_id_66,double,,,
anchor_30day_dist_category_id_67,double,,,
anchor_30day_dist_category_id_68,double,,,
anchor_30day_dist_category_id_69,double,,,
anchor_30day_dist_category_id_70,double,,,
anchor_30day_dist_category_id_76,double,,,
anchor_30day_dist_category_id_80,double,,,
anchor_30day_dist_category_id_81,double,,,
anchor_30day_dist_category_id_82,double,,,
anchor_30day_dist_category_id_83,double,,,
anchor_30day_dist_category_id_84,double,,,
anchor_30day_dist_category_id_85,double,,,
anchor_30day_dist_category_id_86,double,,,
anchor_30day_dist_category_id_87,double,,,
anchor_id,string,,,
anchor_app_id,double,,,
anchor_age,double,,,
anchor_being_anchor_months,double,,,
anchor_1day_live_count,double,,,
anchor_1day_live_duration,double,,,
anchor_1day_order_count,double,,,
anchor_7day_live_count,double,,,
anchor_7day_live_duration,double,,,
anchor_7day_order_count,double,,,
anchor_7day_avg_live_duration,double,,,
anchor_30day_live_count,double,,,
anchor_30day_live_duration,double,,,
anchor_30day_order_count,double,,,
anchor_30day_avg_live_duration,double,,,
anchor_1day_view_count,double,,,
anchor_1day_click_count,double,,,
anchor_1day_praise_count,double,,,
anchor_1day_follow_count,double,,,
anchor_1day_star_amount,double,,,
anchor_1day_pay_count,double,,,
anchor_1day_watched_duration,double,,,
anchor_1day_watched_people,double,,,
anchor_1day_watched_avg_duration,double,,,
anchor_1day_over_20min_count,double,,,
anchor_1day_over_5min_count,double,,,
anchor_7day_view_count,double,,,
anchor_7day_click_count,double,,,
anchor_7day_praise_count,double,,,
anchor_7day_follow_count,double,,,
anchor_7day_pay_count,double,,,
anchor_7day_watched_duration,double,,,
anchor_7day_watched_people,double,,,
anchor_7day_watched_avg_duration,double,,,
anchor_7day_over_20min_count,double,,,
anchor_7day_over_5min_count,double,,,
anchor_30day_view_count,double,,,
anchor_30day_click_count,double,,,
anchor_30day_praise_count,double,,,
anchor_30day_follow_count,double,,,
anchor_30day_pay_count,double,,,
anchor_30day_watched_duration,double,,,
anchor_30day_watched_people,double,,,
anchor_30day_watched_avg_duration,double,,,
anchor_30day_over_20min_count,double,,,
anchor_30day_over_5min_count,double,,,
anchor_7day_star_amount,double,,,
anchor_30day_star_amount,double,,,
anchor_gender_0_0,double,,,
anchor_gender_1_1,double,,,
anchor_gender_2_2,double,,,
